Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Class Weights Only,0.9025765785690589,0.71875,0.3162236480293309,0.4392106938255888,0.9175044538541975
SMOTE Only,0.8979321021784806,0.5807692307692308,0.5536205316223648,0.5668700140778977,0.9187581953683605
SMOTE + Class Weights,0.8979321021784806,0.5807692307692308,0.5536205316223648,0.5668700140778977,0.9187581953683605
