Epoch,Training_Loss,Test_Loss,Accuracy,AUC
1,0.43771630375723536,0.4000052526028009,0.809687050757492,0.9055078461150574
2,0.35323989459167615,0.373105186521249,0.8216299900475506,0.9085357943118773
3,0.3421713370151763,0.3633235470852888,0.8257215525821077,0.9116609829630936
4,0.3310777716499371,0.3560761904724401,0.8284861218622138,0.9138258999328844
5,0.322503991120594,0.3672634187715449,0.8225146522171846,0.9156030979636914
6,0.3142304866698844,0.3480703616898948,0.8368904124737366,0.9167062414995981
7,0.3078904059729654,0.37456464718680826,0.822735817759593,0.9159685042725432
8,0.3030910816048398,0.36928118727948833,0.8295919495742563,0.9163835665407609
9,0.29782101413226963,0.3554309164411289,0.8333517637952007,0.9173476260426864
10,0.29417811621313056,0.33979635678349535,0.8412031405507022,0.9173565037469832
11,0.2892531830327902,0.35250471206242884,0.8327988499391795,0.9166878350593564
12,0.28465867379692117,0.32918918717755136,0.8458476169412805,0.9165785801118117
13,0.2804271252332156,0.3431505745265068,0.8384385712705961,0.9171229609392848
14,0.2772580140757606,0.32174237699789715,0.8549154041800288,0.9160916084387907
15,0.2719915303387564,0.3259266097534023,0.8510450071878801,0.9167912899067605
16,0.27045274102902833,0.3377553885995215,0.8429724648899701,0.9164690884254859
17,0.26738005562346256,0.31985298702111226,0.8518190865863099,0.9180104354454773
18,0.2634942172482499,0.33963280265987494,0.8404290611522724,0.9168170352492208
19,0.26058908365742683,0.3176582020448001,0.8532566626119651,0.9157814806353595
20,0.2600975693420906,0.32713164732702193,0.8461793652548932,0.915550719508341
