Epoch,Training_Loss,Test_Loss,Accuracy,AUC
1,0.4410001658115255,0.38557241943891524,0.8163220170297467,0.9062130909443865
2,0.35296331423253974,0.3798058070955084,0.817759593055402,0.9091854647123093
3,0.33762062119792624,0.39384109132468903,0.8070330642485901,0.9123849301561411
4,0.3253224760244503,0.3699032411590609,0.825389804268495,0.9137951238913228
5,0.32217817937222554,0.34123000277165727,0.8387703195842088,0.916300826336716
6,0.3151045514777894,0.36604715116675496,0.8248368904124738,0.91587664962542
7,0.30913047162678814,0.34979575328643403,0.8324671016255667,0.9178341242381448
8,0.3003493830942834,0.3486678638145036,0.8348999225920601,0.918667681486909
9,0.297153547545704,0.30296884536624524,0.8588963839433816,0.9184187506584297
10,0.2884119249362177,0.3632734129284647,0.8314718566847286,0.9188055818269841
11,0.29117224107804063,0.3293218543825326,0.8464005307973018,0.9190955276493141
12,0.2843961256695633,0.31297451578369845,0.8527037487559438,0.9179709592537048
13,0.2802828582803372,0.34508768259905537,0.8407608094658852,0.9190220794424329
14,0.2744078601101291,0.31207967122532054,0.854141324781599,0.9179391178876273
15,0.2730246120683274,0.3239536700978501,0.8512661727302886,0.9193225601405282
16,0.27181101005187175,0.30494232617634187,0.8612186221386708,0.9181798812281533
17,0.26658120435179744,0.31918627855182685,0.8546942386376203,0.9190929827074157
18,0.26324270083353923,0.31503260771046826,0.8583434700873603,0.9178122259008799
19,0.26000121221196865,0.3357758535776441,0.8442994581444211,0.918187220130372
20,0.2592865741074292,0.3256295855911672,0.8502709277894503,0.9178695166859412
