Epoch,Training_Loss,Test_Loss,Accuracy,AUC
1,0.3732077087865048,0.24117687887010697,0.8954992812119872,0.8981653928147412
2,0.23137584924071639,0.22917542802434598,0.9014707508570164,0.9045059084081329
3,0.2277044697893955,0.22777902364506733,0.9029083268826716,0.9058378599761131
4,0.22526163432324414,0.22559271769147657,0.9011390025434037,0.9076508647475833
5,0.22293758584160478,0.2240101224215015,0.9020236647130377,0.9092026282739495
6,0.2204636970938267,0.22275796672035791,0.9013601680858122,0.9105431616227497
7,0.21873515548365383,0.2210610437766253,0.9025765785690589,0.9118224979965981
8,0.2175030894931822,0.22042229365922836,0.9022448302554462,0.9128236663024836
9,0.21586210432107458,0.218461086587754,0.9034612407386929,0.9138947909182269
10,0.2135246826520775,0.21932638736869545,0.9035718235098972,0.9151300938787639
11,0.21235371275407977,0.21643841362864283,0.9051199823067566,0.9160038967203391
12,0.21112983642663874,0.21692851297190716,0.9058940617051864,0.9162615868837247
13,0.20917886768827604,0.214658224545102,0.9051199823067566,0.9173875165273263
14,0.20774141877553443,0.21433708758516595,0.9063363927900033,0.918172009663677
15,0.20704419627123188,0.213509336514348,0.9064469755612076,0.91846822906371
16,0.2063508098881162,0.21274911324152387,0.9064469755612076,0.9190587739535259
17,0.20580604091349283,0.2127013710910051,0.9060046444763906,0.9191166565855401
18,0.20384223291144069,0.21326744388679772,0.9061152272475949,0.919307882336091
19,0.2025430542300481,0.21229810497803747,0.9062258100187991,0.9197021115915593
20,0.20194170762943606,0.21170601062538427,0.9061152272475949,0.920177009586737
