Epoch,Training_Loss,Test_Loss,Accuracy,AUC
1,0.5037286282113052,0.43788158030790997,0.7994028530354971,0.9016530285400438
2,0.38161253161832204,0.3986673532143428,0.811014044011943,0.9063391543453995
3,0.37295459151874466,0.377848092333532,0.8235098971580228,0.9089048108871429
4,0.36504315676691257,0.36524184967160395,0.8268273802941501,0.9108467791096964
5,0.36024506914486426,0.3687321657985762,0.8273802941501714,0.9126309017498545
6,0.3543287195665756,0.37242012137031577,0.8206347451067124,0.9143683868501076
7,0.35205768255421716,0.3639950124771606,0.8258321353533119,0.9145213201027921
8,0.3440881986529446,0.3370645193812147,0.8416454716355192,0.9158484185257567
9,0.34329942278802933,0.3647589275600451,0.8248368904124738,0.9164853642166965
10,0.3420965161452223,0.35915953070535,0.8264956319805374,0.916680141048966
11,0.33494077937657313,0.36731725948304844,0.8251686387260865,0.9176905421673199
12,0.33080606152330505,0.39066215922818515,0.8145526926904788,0.9178746657544331
13,0.3364239018513444,0.36002690560335504,0.8279332080061926,0.9185393690674742
14,0.330391724706619,0.36397389292281956,0.8288178701758266,0.9189776909209495
15,0.32519206359860536,0.37583177738006196,0.8228464005307973,0.9187813161019066
16,0.3227915107689714,0.343340695774372,0.8407608094658852,0.9194671483511736
17,0.3226152456550307,0.36403034285846225,0.8294813668030521,0.9186075498364727
18,0.32418809075372407,0.3665312691084463,0.8269379630653544,0.9195437333469063
19,0.3221754593293874,0.36235647928288955,0.8295919495742563,0.9185269402814588
20,0.3152310301233936,0.3244293506965692,0.8454052858564636,0.920121494342535
